"TimeUTC","timestampInMs","requestPath","requestMethod","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","lambdaDurationInMs","lambdaRegion","lambdaMaxMemoryUsed","lambdaMemorySize","message","projectId","projectName"
"2023-10-30 01:25:48",1698629148637,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/","GET",200,"sfo1::lhr1::k2rxq-1698629147432-d251abe929d8","['Vercelbot/0.1 (screenshot; +https://vercel.com)']","info","preview","preview","-","lambda","/","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",387.95,"lhr1",96,1024,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:25:47",1698629147499,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/","GET",-10,"k2rxq-1698629147432-d251abe929d8","['Vercelbot/0.1 (screenshot; +https://vercel.com)']","info","preview","preview","-","edge-middleware","/middleware","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",-1,"-",-1,-1,"Bot 164.90.158.121 crawling from Santa Clara, CA, US","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:25:47",1698629147474,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/","GET",200,"sfo1::k2rxq-1698629147432-d251abe929d8","['Vercelbot/0.1 (screenshot; +https://vercel.com)']","info","preview","preview","-","edge-middleware","/middleware","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",-1,"-",-1,-1,"[GET] [middleware: ""middleware""] / status=200","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:25:47",1698629147000,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/","GET",401,"d6xbk-1698629146983-fa455c43bbfe","['Vercelbot/0.1 (screenshot; +https://vercel.com)']","warning","preview","preview","MISS","request","/","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:18:42",1698628722000,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/favicon.ico","GET",200,"5kqt9-1698628721820-463053a74470","['Vercelbot/0.1 (screenshot; +https://vercel.com)']","info","preview","preview","PRERENDER","request","/favicon.ico","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:18:41",1698628721243,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/","GET",200,"sfo1::lhr1::6nk4s-1698628719938-8a53e8ad2484","['Vercelbot/0.1 (screenshot; +https://vercel.com)']","info","preview","preview","-","lambda","/","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",389.43,"lhr1",97,1024,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:18:39",1698628719969,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/","GET",-10,"6nk4s-1698628719938-8a53e8ad2484","['Vercelbot/0.1 (screenshot; +https://vercel.com)']","info","preview","preview","-","edge-middleware","/middleware","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",-1,"-",-1,-1,"Bot 147.182.200.68 crawling from Santa Clara, CA, US","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:18:39",1698628719940,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/","GET",200,"sfo1::6nk4s-1698628719938-8a53e8ad2484","['Vercelbot/0.1 (screenshot; +https://vercel.com)']","info","preview","preview","-","edge-middleware","/middleware","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",-1,"-",-1,-1,"[GET] [middleware: ""middleware""] / status=200","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:18:39",1698628719000,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/","GET",401,"q9nqj-1698628719472-b1b09eddd7bc","['Vercelbot/0.1 (screenshot; +https://vercel.com)']","warning","preview","preview","MISS","request","/","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:17:29",1698628649000,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/favicon.ico","GET",200,"jljqb-1698628649289-122287f6cf66","['Vercelbot/0.1 (favicon; +https://vercel.com)']","info","preview","preview","MISS","request","/favicon.ico","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:17:28",1698628648000,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/favicon.ico","GET",200,"hwpqv-1698628648357-9067ad64cc80","['Vercelbot/0.1 (favicon; +https://vercel.com)']","info","preview","preview","MISS","request","/favicon.ico","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:17:27",1698628647000,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/","GET",200,"lxgqq-1698628647676-3ddf43e9e324","['Vercelbot/0.1 (favicon; +https://vercel.com)']","info","preview","preview","MISS","request","/","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:17:27",1698628647000,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/","GET",200,"cqfd4-1698628647673-11fb6f27c880","['Vercelbot/0.1 (favicon; +https://vercel.com)']","info","preview","preview","MISS","request","/","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:17:27",1698628647000,"stoneydsp-1n3do4cz3-stoneydsp.vercel.app/","GET",200,"hwpqv-1698628647825-91dcecfe6904","['Vercelbot/0.1 (favicon; +https://vercel.com)']","info","preview","preview","MISS","request","/","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","stoneydsp-1n3do4cz3-stoneydsp.vercel.app","dpl_5JzoG47ry4j9Eqg34uHQ3WS8eG6W",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:07:45",1698628065063,"www.stoneydsp.com/","GET",200,"hkg1::lhr1::dbh4v-1698628062009-79bb88beb351","['Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20130401 Firefox/31.0']","info","production","preview","-","lambda","/","www.stoneydsp.com","www.stoneydsp.com","dpl_2fUv8Y2Cq37WL88XZvzWJyDp7kZq",415.97,"lhr1",97,1024,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:07:45",1698628065033,"www.stoneydsp.com/","GET",200,"hkg1::lhr1::6vzcb-1698628062593-ef810faf0a24","['Opera/12.0(Windows NT 5.2;U;en)Presto/22.9.168 Version/12.00']","info","production","preview","-","lambda","/","www.stoneydsp.com","www.stoneydsp.com","dpl_2fUv8Y2Cq37WL88XZvzWJyDp7kZq",396.9,"lhr1",95,1024,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:07:45",1698628065000,"www.stoneydsp.com//_next/static/chunks/polyfills-c67a75d1b6f99dc8.js","GET",308,"6vzcb-1698628065158-e04a2b33f8e7","['Mozilla/5.0 (Windows NT 6.1; WOW64; rv:46.0) Gecko/20120121 Firefox/46.0']","info","production","preview","MISS","request","//_next/static/chunks/polyfills-c67a75d1b6f99dc8.js","www.stoneydsp.com","stoneydsp-pf8gqjffd-stoneydsp.vercel.app","dpl_2fUv8Y2Cq37WL88XZvzWJyDp7kZq",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
"2023-10-30 01:07:45",1698628065000,"www.stoneydsp.com//_next/static/chunks/290-7419d80a3c569152.js","GET",308,"f62pn-1698628065114-4394404d7488","['Chrome (AppleWebKit/537.1; Chrome50.0; Windows NT 6.3) AppleWebKit/537.36 (KHTML like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393']","info","production","preview","MISS","request","//_next/static/chunks/290-7419d80a3c569152.js","www.stoneydsp.com","stoneydsp-pf8gqjffd-stoneydsp.vercel.app","dpl_2fUv8Y2Cq37WL88XZvzWJyDp7kZq",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu",""
