"TimeUTC","timestampInMs","requestPath","requestMethod","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","lambdaDurationInMs","lambdaRegion","lambdaMaxMemoryUsed","lambdaMemorySize","message","projectId","projectName"
"2023-10-11 12:32:02",1697027522226,"stoneydsp-a86bs004e-stoneydsp.vercel.app/login","GET",200,"sfo1:sfo1::lhr1::dhvld-1697027520383-6589adab64b3","['Vercel Edge Functions']","info","preview","production","-","lambda","/login","stoneydsp-a86bs004e-stoneydsp.vercel.app","stoneydsp-a86bs004e-stoneydsp.vercel.app","dpl_BTkLrp3nq6CLVpkYYNnuST4uGTPD",366.87,"lhr1",94,1024,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu","stoneydsp"
"2023-10-11 12:32:01",1697027521013,"stoneydsp-a86bs004e-stoneydsp.vercel.app/login","GET",-10,"dhvld-1697027520383-6589adab64b3","['Vercel Edge Functions']","info","preview","production","-","edge-middleware","/middleware","stoneydsp-a86bs004e-stoneydsp.vercel.app","stoneydsp-a86bs004e-stoneydsp.vercel.app","dpl_BTkLrp3nq6CLVpkYYNnuST4uGTPD",-1,"-",-1,-1,"172.69.135.96 visiting from San Jose, US","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu","stoneydsp"
"2023-10-11 12:32:00",1697027520387,"stoneydsp-a86bs004e-stoneydsp.vercel.app/login","GET",200,"sfo1:sfo1::dhvld-1697027520383-6589adab64b3","['Vercel Edge Functions']","info","preview","production","-","edge-middleware","/middleware","stoneydsp-a86bs004e-stoneydsp.vercel.app","stoneydsp-a86bs004e-stoneydsp.vercel.app","dpl_BTkLrp3nq6CLVpkYYNnuST4uGTPD",-1,"-",-1,-1,"[GET] [middleware: ""middleware""] /login status=200","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu","stoneydsp"
"2023-10-11 12:32:00",1697027520340,"stoneydsp-a86bs004e-stoneydsp.vercel.app/","GET",-10,"xhg7p-1697027519654-49055ef1c796","['Vercel Edge Functions']","info","preview","production","-","edge-middleware","/middleware","stoneydsp-a86bs004e-stoneydsp.vercel.app","stoneydsp-a86bs004e-stoneydsp.vercel.app","dpl_BTkLrp3nq6CLVpkYYNnuST4uGTPD",-1,"-",-1,-1,"172.69.135.84 visiting from San Jose, US","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu","stoneydsp"
"2023-10-11 12:32:00",1697027520000,"stoneydsp-a86bs004e-stoneydsp.vercel.app/","GET",307,"xhg7p-1697027519654-49055ef1c796","['Vercel Edge Functions']","info","preview","production","MISS","request","/","stoneydsp-a86bs004e-stoneydsp.vercel.app","stoneydsp-a86bs004e-stoneydsp.vercel.app","dpl_BTkLrp3nq6CLVpkYYNnuST4uGTPD",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu","stoneydsp"
"2023-10-11 12:31:59",1697027519754,"stoneydsp-a86bs004e-stoneydsp.vercel.app/","GET",307,"sfo1:sfo1::xhg7p-1697027519654-49055ef1c796","['Vercel Edge Functions']","info","preview","production","-","edge-middleware","/middleware","stoneydsp-a86bs004e-stoneydsp.vercel.app","stoneydsp-a86bs004e-stoneydsp.vercel.app","dpl_BTkLrp3nq6CLVpkYYNnuST4uGTPD",-1,"-",-1,-1,"[GET] [middleware: ""middleware""] / status=307","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu","stoneydsp"
"2023-10-11 12:30:49",1697027449000,"stoneydsp-a86bs004e-stoneydsp.vercel.app/favicon.ico","GET",200,"2zr77-1697027449180-682ff172898d","['Vercelbot/0.1 (favicon; +https://vercel.com)']","info","preview","production","MISS","request","/favicon.ico","stoneydsp-a86bs004e-stoneydsp.vercel.app","stoneydsp-a86bs004e-stoneydsp.vercel.app","dpl_BTkLrp3nq6CLVpkYYNnuST4uGTPD",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu","stoneydsp"
"2023-10-11 12:30:48",1697027448000,"stoneydsp-a86bs004e-stoneydsp.vercel.app/favicon.ico","GET",200,"bwdlx-1697027448108-a63bb13270d5","['Vercelbot/0.1 (favicon; +https://vercel.com)']","info","preview","production","MISS","request","/favicon.ico","stoneydsp-a86bs004e-stoneydsp.vercel.app","stoneydsp-a86bs004e-stoneydsp.vercel.app","dpl_BTkLrp3nq6CLVpkYYNnuST4uGTPD",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu","stoneydsp"
"2023-10-11 12:30:47",1697027447000,"stoneydsp-a86bs004e-stoneydsp.vercel.app/","GET",200,"hpv8t-1697027446915-1147982d1f71","['Vercelbot/0.1 (favicon; +https://vercel.com)']","info","preview","production","MISS","request","/","stoneydsp-a86bs004e-stoneydsp.vercel.app","stoneydsp-a86bs004e-stoneydsp.vercel.app","dpl_BTkLrp3nq6CLVpkYYNnuST4uGTPD",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu","stoneydsp"
"2023-10-11 12:30:46",1697027446000,"stoneydsp-a86bs004e-stoneydsp.vercel.app/","GET",200,"xm7rt-1697027446761-b8fe67815e84","['Vercelbot/0.1 (favicon; +https://vercel.com)']","info","preview","production","MISS","request","/","stoneydsp-a86bs004e-stoneydsp.vercel.app","stoneydsp-a86bs004e-stoneydsp.vercel.app","dpl_BTkLrp3nq6CLVpkYYNnuST4uGTPD",0,"-",-1,0,"-","prj_c4QLBbN43ABTBlVNLK9fc1Zg6Qfu","stoneydsp"
